#,Player,GS,MIN,FG MADE,FG_ATT,FG%,3PT MADE,3PT_ATT,3PT%,FT MADE,FT_ATT,FT%,PTS,ORB,DRB,REB,STL,BLK,A,TO,PF,Opponent,Date
13,Keeley Wright,-,10,0,1,0.0,0,0,0.0,1,2,0.5,1,1,2,3,1,0,0,2,0,Evergreen (WA),2025-02-01
5,Makayla Scurlock,-,15,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,4,0,0,0,1,1,Evergreen (WA),2025-02-01
20,Morgan Baird,*,21,10,16,0.625,0,0,0.0,0,0,0.0,20,1,5,6,0,1,5,2,1,Walla Walla,2025-02-14
12,Emma Schmerbach,*,20,4,7,0.5714285714285714,1,2,0.5,0,0,0.0,9,2,0,2,1,0,0,1,2,Walla Walla,2025-02-14
1,Meghan McIntyre,*,25,4,7,0.5714285714285714,0,0,0.0,0,0,0.0,8,1,4,5,3,0,4,2,1,Walla Walla,2025-02-14
23,Clara Robbins,*,22,4,4,1.0,0,0,0.0,0,0,0.0,8,1,3,4,0,1,0,1,1,Walla Walla,2025-02-14
10,Bridgette McIntyre,*,25,2,3,0.6666666666666666,1,2,0.5,0,0,0.0,5,1,3,4,2,0,3,4,1,Walla Walla,2025-02-14
32,Eliza DiGiulio,-,18,6,11,0.5454545454545454,0,1,0.0,3,4,0.75,15,3,3,6,1,1,2,1,1,Walla Walla,2025-02-14
13,Keeley Wright,-,15,3,4,0.75,0,0,0.0,2,2,1.0,8,0,0,0,1,1,0,1,2,Walla Walla,2025-02-14
22,Sierra Scheppele,-,12,2,4,0.5,2,4,0.5,2,2,1.0,8,0,1,1,0,0,0,0,0,Walla Walla,2025-02-14
33,Mallory Williams,-,18,1,4,0.25,1,4,0.25,2,2,1.0,5,0,8,8,1,0,0,1,1,Walla Walla,2025-02-14
21,Jenika Zurita,-,6,1,1,1.0,1,1,1.0,0,0,0.0,3,0,0,0,0,0,0,0,3,Walla Walla,2025-02-14
